dataset,model,technique,real,pred,perc_completeness
letter_22,LogisticRegression,impute_mice,-0.025067711364241463,-0.07979643804488712,0.4066125
letter_23,LogisticRegression,impute_mice,-0.03879566805429269,-0.017238278409279016,0.3522375
letter_24,LogisticRegression,impute_mice,-0.023078328661424008,-0.023909890522821522,0.299725
letter_25,LogisticRegression,impute_mice,-0.04046961832555018,-0.033653007137030906,0.2440875
letter_26,LogisticRegression,impute_mice,0.0032827695980297555,-0.05164486273524694,0.2010875
letter_27,LogisticRegression,impute_mice,0.011826485525426977,-0.058290750646249403,0.1530875
letter_28,LogisticRegression,impute_mice,0.022824383270301674,-0.0643583987538324,0.097475
letter_29,LogisticRegression,impute_mice,0.0052297922811200825,-0.07293371030359302,0.0484374999999999
letter_0,LogisticRegression,impute_linear_regression,-0.2056856267032594,-0.034364362885449314,0.4983124999999999
letter_1,LogisticRegression,impute_linear_regression,-0.23671442968973322,-0.03867521788884198,0.44755
letter_2,LogisticRegression,impute_linear_regression,-0.24360643871448584,-0.03882301576152205,0.4009874999999999
letter_3,LogisticRegression,impute_linear_regression,-0.25867426574293306,-0.03415493174834133,0.3568625
letter_4,LogisticRegression,impute_linear_regression,-0.2881830136765038,-0.03324299307827378,0.3018375
letter_5,LogisticRegression,impute_linear_regression,-0.2653287394596051,-0.02869868334788873,0.247525
letter_6,LogisticRegression,impute_linear_regression,-0.29136109705315727,-0.00857791331587771,0.2007125
letter_7,LogisticRegression,impute_linear_regression,-0.26306889775628095,-0.009497213330528002,0.14715
letter_8,LogisticRegression,impute_linear_regression,-0.18819861178268682,-0.004286001352785639,0.0986375
letter_9,LogisticRegression,impute_linear_regression,-0.09122430226885037,-0.002782099124094712,0.050875
letter_10,LogisticRegression,impute_linear_regression,-0.1911682210996124,-0.02442543536804467,0.5012375
letter_11,LogisticRegression,impute_linear_regression,-0.19865763607051345,-0.025347913455325954,0.4509875
letter_12,LogisticRegression,impute_linear_regression,-0.21909172163263735,-0.02633124240857045,0.4006124999999999
letter_13,LogisticRegression,impute_linear_regression,-0.22935012555103662,-0.026585665644806016,0.3481125
letter_14,LogisticRegression,impute_linear_regression,-0.21682372155195306,-0.00895952255000506,0.299475
letter_15,LogisticRegression,impute_linear_regression,-0.19103518885615012,-0.007370798349387205,0.2524
letter_16,LogisticRegression,impute_linear_regression,-0.21764005231991623,-0.005234501269605984,0.2019
letter_17,LogisticRegression,impute_linear_regression,-0.18859304999753568,-0.005749679291257993,0.1490875
