name,column,percentage_outliers,std_outliers,technique_accuracy,f1_technique
acustic,_Zero-crossingrate_Mean,30,2,LOF,0.3159713064186266
acustic,_Fluctuation_Mean,30,2,LOF,0.2201138888422261
acustic,_HarmonicChangeDetectionFunction_Std,40,2,LOF,0.1906741575118436
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,2,LOF,0.2158003332987551
acustic,_Zero-crossingrate_Mean,40,2,LOF,0.2525181683970794
acustic,_Fluctuation_Mean,40,2,LOF,0.209064515958856
acustic,_HarmonicChangeDetectionFunction_Std,50,2,LOF,0.1889353120127487
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,2,LOF,0.1922765840161004
acustic,_Zero-crossingrate_Mean,50,2,LOF,0.2516971702187899
acustic,_Fluctuation_Mean,50,2,LOF,0.2231240522607926
acustic,_HarmonicChangeDetectionFunction_Std,10,3,IQR,0.9824975475345812
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,3,IQR,0.940475993262682
acustic,_Zero-crossingrate_Mean,10,3,IQR,0.9288106870808016
acustic,_Fluctuation_Mean,10,3,IQR,0.8792905176179037
acustic,_HarmonicChangeDetectionFunction_Std,20,3,IQR,0.9672309405696627
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,3,IQR,0.935626533592419
acustic,_Zero-crossingrate_Mean,20,3,IQR,0.9334263534888588
acustic,_Fluctuation_Mean,20,3,IQR,0.9413395983358432
acustic,_HarmonicChangeDetectionFunction_Std,30,3,IQR,0.9130036227960416
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,3,IQR,0.8936243772602368
acustic,_Zero-crossingrate_Mean,30,3,IQR,0.9093461977653514
acustic,_Fluctuation_Mean,30,3,IQR,0.9250948798312236
acustic,_HarmonicChangeDetectionFunction_Std,40,3,IQR,0.8171981667610898
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,3,IQR,0.8034327606069391
acustic,_Zero-crossingrate_Mean,40,3,IQR,0.819518211407955
acustic,_Fluctuation_Mean,40,3,IQR,0.9086241702600784
acustic,_HarmonicChangeDetectionFunction_Std,50,3,IQR,0.1193831727009568
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,3,IQR,0.2694416430163978
acustic,_Zero-crossingrate_Mean,50,3,IQR,0.4096170589073237
acustic,_Fluctuation_Mean,50,3,IQR,0.352643684459083
acustic,_HarmonicChangeDetectionFunction_Std,10,3,ISO,0.9362605230822284
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,3,ISO,0.9446892949445898
acustic,_Zero-crossingrate_Mean,10,3,ISO,0.9279705093988068
acustic,_Fluctuation_Mean,10,3,ISO,0.8222006129817359
acustic,_HarmonicChangeDetectionFunction_Std,20,3,ISO,0.6733383571727806
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,3,ISO,0.6765738766022081
acustic,_Zero-crossingrate_Mean,20,3,ISO,0.6825983517713006
acustic,_Fluctuation_Mean,20,3,ISO,0.5565984220071776
acustic,_HarmonicChangeDetectionFunction_Std,30,3,ISO,0.5012940903868782
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,3,ISO,0.4960727705701188
acustic,_Zero-crossingrate_Mean,30,3,ISO,0.4985920229422348
acustic,_Fluctuation_Mean,30,3,ISO,0.4045560084051045
acustic,_HarmonicChangeDetectionFunction_Std,40,3,ISO,0.4005845309123228
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,3,ISO,0.3980990208094757
acustic,_Zero-crossingrate_Mean,40,3,ISO,0.3875372359079405
acustic,_Fluctuation_Mean,40,3,ISO,0.3343932781958274
acustic,_HarmonicChangeDetectionFunction_Std,50,3,ISO,0.3177242113061148
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,3,ISO,0.3295304138912414
acustic,_Zero-crossingrate_Mean,50,3,ISO,0.3245862935171106
acustic,_Fluctuation_Mean,50,3,ISO,0.2872274956558061
acustic,_HarmonicChangeDetectionFunction_Std,10,3,PERC,0.3433253961493164
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,3,PERC,0.3273076961402361
acustic,_Zero-crossingrate_Mean,10,3,PERC,0.3473910277428925
acustic,_Fluctuation_Mean,10,3,PERC,0.3478946584448024
acustic,_HarmonicChangeDetectionFunction_Std,20,3,PERC,0.1859263069128354
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,3,PERC,0.1862685452731765
acustic,_Zero-crossingrate_Mean,20,3,PERC,0.1903556761133658
acustic,_Fluctuation_Mean,20,3,PERC,0.177279074338622
acustic,_HarmonicChangeDetectionFunction_Std,30,3,PERC,0.1259669067468938
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,3,PERC,0.1238834706046751
acustic,_Zero-crossingrate_Mean,30,3,PERC,0.1281958847231477
acustic,_Fluctuation_Mean,30,3,PERC,0.123289060075588
acustic,_HarmonicChangeDetectionFunction_Std,40,3,PERC,0.095477967205681
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,3,PERC,0.095412838455332
acustic,_Zero-crossingrate_Mean,40,3,PERC,0.0945229624581617
acustic,_Fluctuation_Mean,40,3,PERC,0.0946570712597287
acustic,_HarmonicChangeDetectionFunction_Std,50,3,PERC,0.0735857780929893
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,3,PERC,0.077056027198511
acustic,_Zero-crossingrate_Mean,50,3,PERC,0.0786659264663133
acustic,_Fluctuation_Mean,50,3,PERC,0.0778746899838615
acustic,_HarmonicChangeDetectionFunction_Std,10,3,STD,0.5908403737777368
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,3,STD,0.5849790510924506
acustic,_Zero-crossingrate_Mean,10,3,STD,0.5983863610222305
acustic,_Fluctuation_Mean,10,3,STD,0.626805838979281
acustic,_HarmonicChangeDetectionFunction_Std,20,3,STD,0.197611402406661
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,3,STD,0.214963210028004
acustic,_Zero-crossingrate_Mean,20,3,STD,0.2528125559988304
acustic,_Fluctuation_Mean,20,3,STD,0.2130772661379819
acustic,_HarmonicChangeDetectionFunction_Std,30,3,STD,0.0
