Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price_Class
4.2,4.0,64.0,4.5,64,,3500,1000-10000
4.2,4.0,64.0,4.5,64,16.0,3000,1000-10000
3.5,6.0,64.0,4.5,48,16.0,3000,1000-10000
4.2,6.0,32.0,4.54,48,61.0,1750,1000-10000
3.8,12.0,24.0,2.0,64,,1550,1000-10000
3.7,6.0,32.0,4.77,48,,1750,0-1000
4.5,6.0,128.0,6.39,48,32.0,3000,10000-60000
4.5,6.0,64.0,5.5,35,12.0,3500,10000-60000
,6.0,32.0,4.5,64,,3000,0-1000
,6.0,32.0,4.5,64,,3000,0-1000
4.1,6.0,32.0,4.5,64,8.0,3000,1000-10000
3.6,8.0,32.0,4.5,48,8.0,3000,0-1000
4.2,6.0,24.0,4.54,48,8.0,1750,1000-10000
4.6,12.0,64.0,6.1,35,7.0,3500,10000-60000
4.2,6.0,32.0,4.54,48,5.0,1750,1000-10000
3.9,12.0,12.0,4.54,48,5.0,3000,1000-10000
3.9,6.0,32.0,4.54,48,,3000,1000-10000
4.1,8.0,128.0,6.4,35,20.0,3000,10000-60000
3.6,6.0,32.0,4.54,38,20.0,1200,0-1000
3.6,6.0,32.0,4.54,38,0.0,1200,0-1000
3.8,3.0,32.0,6.2,48,8.0,3000,10000-60000
4.1,3.0,32.0,5.4,38,5.0,3000,1000-10000
3.9,6.0,32.0,4.77,48,,1750,1000-10000
