dataset,model,ranking_eval,ranking_real,ranking_pred,value_real,value_pred
fried_3,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.72554495 0.81782743],[0.51711801 0.76158786]
fried_4,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.93229754 0.95137675],[0.88442743 0.91173594]
fried_4,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.88215244 0.97262304],[0.64663582 0.90503242]
fried_4,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.89232875 0.94943447],[0.78530873 0.95083277]
fried_4,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.93477525 0.95795995],[0.9186857  0.92600783]
fried_4,AdaBoost,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.95320422 0.96317101],[0.94755005 0.97235892]
fried_4,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.79033356 0.98381495],[0.57584217 0.82607856]
frogs_0,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.66582628 0.8425393 ],[0.80924015 0.9401154 ]
frogs_0,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.33176978 0.88700292],[0.6033545  0.94862315]
frogs_0,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.34114409 0.87200478],[0.6776932  0.94476394]
frogs_0,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.75483407 0.86954561],[0.86096343 0.95331153]
frogs_0,AdaBoost,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[1.12756336 1.14823217],[0.87933866 0.91479263]
frogs_0,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.23326791 0.90799144],[0.52296917 0.82020482]
frogs_1,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.75110474 0.88103494],[0.80189721 0.90009941]
frogs_1,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.33154085 0.9116802 ],[0.58570684 0.88527258]
frogs_1,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.35672313 0.91526379],[0.68893486 0.92982501]
frogs_1,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.82167825 0.91542624],[0.86284105 0.92712759]
frogs_1,AdaBoost,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[1.06058627 1.20288219],[0.8733172  0.94780804]
frogs_1,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.27708063 0.93929949],[0.51177884 0.77781392]
frogs_2,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.79758779 0.90311855],[0.82524767 0.89255448]
frogs_2,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.38500297 0.9287932 ],[0.57650697 0.87977525]
frogs_2,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.39071412 0.95007008],[0.70377531 0.93485052]
frogs_2,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.88559123 0.95302936],[0.88460317 0.91120024]
frogs_2,AdaBoost,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[1.23786269 1.27734293],[0.85872416 0.96098314]
frogs_2,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.34312752 0.9567954 ],[0.48413314 0.77204499]
frogs_3,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.8527325  0.92995589],[0.86451831 0.90913472]
frogs_3,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.4324439  0.95102173],[0.59221595 0.90317162]
frogs_3,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.46417715 0.96749469],[0.73310797 0.94564671]
frogs_3,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.93493296 0.9679813 ],[0.91870632 0.92948856]
frogs_3,AdaBoost,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[1.15965303 1.34162041],[0.86752639 0.90590766]
frogs_3,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.48464057 0.97272692],[0.50274624 0.81677228]
frogs_4,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.91949316 0.95918573],[0.92097081 0.92465791]
frogs_4,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.57077317 0.97799477],[0.71427483 0.92520766]
frogs_4,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.63828175 0.99075799],[0.82540416 0.9487205 ]
frogs_4,RandomForest,0.0,['accuracy' 'completeness'],['completeness' 'accuracy'],[0.97298978 0.98507434],[0.93865188 0.95629679]
frogs_4,AdaBoost,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[1.14541076 1.31546986],[0.93625851 0.97395171]
frogs_4,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.712525   0.98947954],[0.62649264 0.86431474]
german_0,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.89893543 0.92168064],[0.7673426  0.86810028]
german_0,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.86214959 0.97669952],[0.65548158 0.87568149]
german_0,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.9378624  1.02677106],[0.65036754 0.86638342]
german_0,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.91047769 0.95495463],[0.82051393 0.8772562 ]
german_0,AdaBoost,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.92285858 0.9707045 ],[0.84396496 0.90737595]
german_0,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.91893776 0.96007655],[0.61620279 0.80759538]
german_1,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.91327618 0.94358301],[0.79728327 0.89634259]
german_1,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.86428602 0.9574705 ],[0.61294179 0.88192671]
german_1,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.97741434 1.01532173],[0.66672787 0.93460091]
german_1,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.88464629 1.00360887],[0.83775338 0.91452183]
german_1,AdaBoost,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.98674079 1.00675914],[0.86952685 0.96095494]
german_1,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.87298915 0.9689321 ],[0.59239588 0.76791622]
german_2,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.86802621 0.97206211],[0.83066629 0.92788237]
german_2,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.9118118  0.96799245],[0.58913463 0.92775   ]
german_2,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.95782831 0.96117747],[0.70523876 0.95807642]
german_2,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.85674503 0.94626208],[0.88428933 0.948221  ]
german_2,AdaBoost,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.94845403 0.9834659 ],[0.86498351 0.8905721 ]
german_2,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.89601529 0.99748065],[0.5011342  0.87925041]
german_3,DecisionTree,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.93551491 0.93589585],[0.87912256 0.9297546 ]
german_3,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.89698808 0.9672721 ],[0.59461504 0.92082054]
german_3,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[1.02815621 1.03997897],[0.74788454 0.96307601]
german_3,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.91570156 0.976142  ],[0.92599131 0.94071276]
german_3,AdaBoost,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.97889838 0.99034706],[0.87288006 0.96908694]
german_3,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.90684881 0.99942808],[0.51503835 0.85642326]
german_4,DecisionTree,1.0,['completeness' 'accuracy'],['completeness' 'accuracy'],[0.9215941  0.99771921],[0.92465791 0.9256711 ]
german_4,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.93800546 0.99034463],[0.69583235 0.92520766]
german_4,KNN,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.99023215 1.02354977],[0.83816714 0.9487205 ]
german_4,RandomForest,0.0,['accuracy' 'completeness'],['completeness' 'accuracy'],[0.93416377 0.95329774],[0.93865188 0.95326235]
german_4,AdaBoost,1.0,['completeness' 'accuracy'],['completeness' 'accuracy'],[0.99157898 1.03061142],[0.97395171 0.97592048]
german_4,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.88993247 1.00904902],[0.63147767 0.86431474]
house_0,DecisionTree,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.9650605  1.00285199],[0.7792962  0.91060529]
house_0,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.87714439 0.9461159 ],[0.60140816 0.93003603]
house_0,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.59435619 0.93436263],[0.62303987 0.9153492 ]
house_0,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.88836706 0.93830825],[0.82566981 0.93584956]
house_0,AdaBoost,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.90285365 0.92540347],[0.81802465 0.84025937]
house_0,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.90687983 0.91426008],[0.55442322 0.89333988]
house_1,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.95733603 1.01517496],[0.79728327 0.93434077]
house_1,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.90122797 0.95221001],[0.61294179 0.94245812]
house_1,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.92059077 0.92513264],[0.66672787 0.95188351]
house_1,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.90509131 0.93334882],[0.83775338 0.94829998]
house_1,AdaBoost,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.92085927 0.92747954],[0.86952685 0.87238251]
house_1,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.88820711 0.89947681],[0.59239588 0.90650789]
house_2,DecisionTree,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.98251076 0.99511319],[0.83417808 0.8810545 ]
house_2,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.88810628 0.96622474],[0.61271088 0.87226228]
house_2,KNN,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.92514389 0.94007621],[0.71326907 0.92397444]
house_2,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.92583247 0.97292564],[0.88393251 0.90257249]
house_2,AdaBoost,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.92221154 0.96510725],[0.881117   0.95157315]
house_2,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.88090171 0.93690843],[0.53863381 0.75070663]
